"File","Path","Line","Match","Snippet"
"ClientPage.tsx","C:\Users\81905\shopwriter-new\app\writer\ClientPage.tsx","409","outline","<Button type=""button"" variant=""outline"" onClick={manualShow}>"
"ClientPage.tsx","C:\Users\81905\shopwriter-new\app\writer\ClientPage.tsx","421","outline","<Button type=""button"" onClick={onCopy} disabled={!output || loading} variant=""outline"" size=""sm"">"
"ClientPage.tsx","C:\Users\81905\shopwriter-new\app\writer\ClientPage.tsx","424","outline","<Button type=""button"" onClick={() => alert(""共有カード：別タスクで実装予定"")} variant=""outline"" size=""sm"">"
"page.backup.tsx","C:\Users\81905\shopwriter-new\app\writer\page.backup.tsx","651","secondary","variant=""secondary"""
"page.backup.tsx","C:\Users\81905\shopwriter-new\app\writer\page.backup.tsx","698","ghost","variant=""ghost"""
"page.backup.tsx","C:\Users\81905\shopwriter-new\app\writer\page.backup.tsx","709","secondary","variant=""secondary"""
"page.backup.tsx","C:\Users\81905\shopwriter-new\app\writer\page.backup.tsx","779","outline","variant=""outline"""
"page.tsx","C:\Users\81905\shopwriter-new\app\writer\page.tsx","516","secondary","<Button type=""button"" variant=""secondary"" onClick={() => reset()} disabled={isLoading}>リセット</Button>"
"page.tsx","C:\Users\81905\shopwriter-new\app\writer\page.tsx","547","ghost","<Button type=""button"" variant=""ghost"" size=""sm"" className=""gap-2"" onClick={doCopy} disabled={!result || isLoading}>"
"page.tsx","C:\Users\81905\shopwriter-new\app\writer\page.tsx","551","secondary","<Button type=""button"" variant=""secondary"" size=""sm"" className=""gap-2"" onClick={doShare} disabled={!result || isLoading}>"
"page.tsx","C:\Users\81905\shopwriter-new\app\writer\page.tsx","580","outline","<Button type=""button"" variant=""outline"" size=""sm"" onClick={() => void handleSubmit(onSubmit)()} disabled={isLoading} className=""gap-2"" title=""現在の入力・トーンを使って別案を生成します"">"
"Header.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\Header.tsx","26","secondary","<Button asChild variant=""secondary""><Link href=""/api/auth/signin"">繧ｵ繧､繝ｳ繧､繝ｳ</Link></Button>"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","49","outline","return <Badge variant=""outline"">公開中</Badge>;"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","51","secondary","return <Badge variant=""secondary"">アーカイブ</Badge>;"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","63","card","variant = ""card"","
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","121","ghost","<Button size=""icon"" variant=""ghost"" onClick={handleCopy} aria-label=""共有URLをコピー"">"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","124","ghost","<Button size=""icon"" variant=""ghost"" onClick={handleOpen} aria-label=""共有ページを開く"">"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","130","ghost","<Button size=""icon"" variant=""ghost"" aria-label=""その他操作"">"
"ShareCard.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_components\ShareCard.tsx","156","card","// variant = ""card"""
"page.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_debug_final\sharecard\page.tsx","20","outline","<Button variant=""outline"" asChild><Link href=""/dashboard"">ダッシュボード</Link></Button>"
"sharecard.page.tsx","C:\Users\81905\shopwriter-new\backup\2025-09-22_debug\sharecard.page.tsx","20","outline","<Button variant=""outline"" asChild><Link href=""/dashboard"">ダッシュボード</Link></Button>"
"HelpDropdown.tsx","C:\Users\81905\shopwriter-new\components\global\HelpDropdown.tsx","33","ghost","variant=""ghost"""
"ShareCard.tsx","C:\Users\81905\shopwriter-new\src\components\share\ShareCard.tsx","61","secondary","<Button type=""button"" variant=""secondary"" onClick={onCopy}>"
